Gene	peak.time
Tb11.55.0005	Early G1
Tb11.55.0013	Early G1
Tb11.55.0014	Early G1
Tb11.55.0020	Early G1
Tb11.55.0021	Early G1
Tb11.55.0026	Early G1
Tb11.55.0030	Early G1
Tb11.57.0004	Early G1
Tb927.1.1080	Early G1
Tb927.1.1100	Early G1
Tb927.1.1160	Early G1
Tb927.1.1170	Early G1
Tb927.1.1180	Early G1
Tb927.1.1200	Early G1
Tb927.1.1230	Early G1
Tb927.1.1310	Early G1
Tb927.1.1340	Early G1
Tb927.1.1420	Early G1
Tb927.1.1430	Early G1
Tb927.1.1470	Early G1
Tb927.1.1580	Early G1
Tb927.1.1680	Early G1
Tb927.1.1730	Early G1
Tb927.1.1740	Early G1
Tb927.1.1750	Early G1
Tb927.1.1800	Early G1
Tb927.1.1840	Early G1
Tb927.1.2110	Early G1
Tb927.1.2190	Early G1
Tb927.1.2210	Early G1
Tb927.1.2260	Early G1
Tb927.1.2300	Early G1
Tb927.1.2320	Early G1
Tb927.1.2340	Early G1
Tb927.1.2580	Early G1
Tb927.1.270	Early G1
Tb927.1.2700	Early G1
Tb927.1.2710	Early G1
Tb927.1.2740	Early G1
Tb927.1.2770	Early G1
Tb927.1.2810	Early G1
Tb927.1.2820	Early G1
Tb927.1.2830	Early G1
Tb927.1.2890	Early G1
Tb927.1.3070	Early G1
Tb927.1.3080	Early G1
Tb927.1.3130	Early G1
Tb927.1.3180	Early G1
Tb927.1.3190	Early G1
Tb927.1.3300	Early G1
Tb927.1.3310	Early G1
Tb927.1.3400	Early G1
Tb927.1.3580	Early G1
Tb927.1.3610	Early G1
Tb927.1.3830	Early G1
Tb927.1.3950	Early G1
Tb927.1.4040	Early G1
Tb927.1.4100	Early G1
Tb927.1.4160	Early G1
Tb927.1.4250	Early G1
Tb927.1.4270	Early G1
Tb927.1.4280	Early G1
Tb927.1.4300	Early G1
Tb927.1.4370	Early G1
Tb927.1.4400	Early G1
Tb927.1.4420	Early G1
Tb927.1.4430	Early G1
Tb927.1.4470	Early G1
Tb927.1.4540	Early G1
Tb927.1.5000	Early G1
Tb927.1.580	Early G1
Tb927.1.660	Early G1
Tb927.1.670	Early G1
Tb927.1.700	Early G1
Tb927.1.710	Early G1
Tb927.1.720	Early G1
Tb927.1.730	Early G1
Tb927.1.740	Early G1
Tb927.1.760	Early G1
Tb927.1.820	Early G1
Tb927.1.830	Early G1
Tb927.1.840	Early G1
Tb927.1.860	Early G1
Tb927.2.1860	Early G1
Tb927.2.2180	Early G1
Tb927.2.2360	Early G1
Tb927.2.2390	Early G1
Tb927.2.2400	Early G1
Tb927.2.2410	Early G1
Tb927.2.2450	Early G1
Tb927.2.2470	Early G1
Tb927.2.2550	Early G1
Tb927.2.2880	Early G1
Tb927.2.2910	Early G1
Tb927.2.2990	Early G1
Tb927.2.3080	Early G1
Tb927.2.3460	Early G1
Tb927.2.3620	Early G1
Tb927.2.3800	Early G1
Tb927.2.3880	Early G1
Tb927.2.4090	Early G1
Tb927.2.4200	Early G1
Tb927.2.4210	Early G1
Tb927.2.4280	Early G1
Tb927.2.4340	Early G1
Tb927.2.4460	Early G1
Tb927.2.4530	Early G1
Tb927.2.4590	Early G1
Tb927.2.4650	Early G1
Tb927.2.4700	Early G1
Tb927.2.4710	Early G1
Tb927.2.4930	Early G1
Tb927.2.5080	Early G1
Tb927.2.5210	Early G1
Tb927.2.5800	Early G1
Tb927.2.5850	Early G1
Tb927.2.5870	Early G1
Tb927.2.5930	Early G1
Tb927.2.5980	Early G1
Tb927.2.6070	Early G1
Tb927.2.650	Early G1
Tb927.2.690	Early G1
Tb927.3.1000	Early G1
Tb927.3.1010	Early G1
Tb927.3.1030	Early G1
Tb927.3.1220	Early G1
Tb927.3.1230	Early G1
Tb927.3.1270	Early G1
Tb927.3.1340	Early G1
Tb927.3.1360	Early G1
Tb927.3.1390	Early G1
Tb927.3.1430	Early G1
Tb927.3.1760	Early G1
Tb927.3.1790	Early G1
Tb927.3.1820	Early G1
Tb927.3.1840	Early G1
Tb927.3.1870	Early G1
Tb927.3.1910	Early G1
Tb927.3.2100	Early G1
Tb927.3.2110	Early G1
Tb927.3.2130	Early G1
Tb927.3.2150	Early G1
Tb927.3.2170	Early G1
Tb927.3.2220	Early G1
Tb927.3.2240	Early G1
Tb927.3.2320	Early G1
Tb927.3.2410	Early G1
Tb927.3.2710	Early G1
Tb927.3.2840	Early G1
Tb927.3.2960	Early G1
Tb927.3.3020	Early G1
Tb927.3.3060	Early G1
Tb927.3.3160	Early G1
Tb927.3.3180	Early G1
Tb927.3.3250	Early G1
Tb927.3.3260	Early G1
Tb927.3.3270	Early G1
Tb927.3.3280	Early G1
Tb927.3.3290	Early G1
Tb927.3.3310	Early G1
Tb927.3.3480	Early G1
Tb927.3.3540	Early G1
Tb927.3.3560	Early G1
Tb927.3.3600	Early G1
Tb927.3.3610	Early G1
Tb927.3.3620	Early G1
Tb927.3.3630	Early G1
Tb927.3.3740	Early G1
Tb927.3.3750	Early G1
Tb927.3.3800	Early G1
Tb927.3.3810	Early G1
Tb927.3.3900	Early G1
Tb927.3.3940	Early G1
Tb927.3.3980	Early G1
Tb927.3.4050	Early G1
Tb927.3.4070	Early G1
Tb927.3.4090	Early G1
Tb927.3.4100	Early G1
Tb927.3.4110	Early G1
Tb927.3.4120	Early G1
Tb927.3.4130	Early G1
Tb927.3.4150	Early G1
Tb927.3.4180	Early G1
Tb927.3.4200	Early G1
Tb927.3.4280	Early G1
Tb927.3.4360	Early G1
Tb927.3.4500	Early G1
Tb927.3.4640	Early G1
Tb927.3.4660	Early G1
Tb927.3.4810	Early G1
Tb927.3.4830	Early G1
Tb927.3.4930	Early G1
Tb927.3.4940	Early G1
Tb927.3.4990	Early G1
Tb927.3.5000	Early G1
Tb927.3.5030	Early G1
Tb927.3.5040	Early G1
Tb927.3.5050	Early G1
Tb927.3.5070	Early G1
Tb927.3.5090	Early G1
Tb927.3.5100	Early G1
Tb927.3.5140	Early G1
Tb927.3.5170	Early G1
Tb927.3.5190	Early G1
Tb927.3.5230	Early G1
Tb927.3.5240	Early G1
Tb927.3.5250	Early G1
Tb927.3.5300	Early G1
Tb927.3.5340	Early G1
Tb927.3.5360	Early G1
Tb927.3.5470	Early G1
Tb927.3.590	Early G1
Tb927.3.660	Early G1
Tb927.3.680	Early G1
Tb927.3.760	Early G1
Tb927.3.800	Early G1
Tb927.3.970	Early G1
Tb927.3.980	Early G1
Tb927.4.1000	Early G1
Tb927.4.1030	Early G1
Tb927.4.1110	Early G1
Tb927.4.1170	Early G1
Tb927.4.1180	Early G1
Tb927.4.1250	Early G1
Tb927.4.1260	Early G1
Tb927.4.1300	Early G1
Tb927.4.1360	Early G1
Tb927.4.1440	Early G1
Tb927.4.1510	Early G1
Tb927.4.1540	Early G1
Tb927.4.1570	Early G1
Tb927.4.160	Early G1
Tb927.4.1600	Early G1
Tb927.4.1650	Early G1
Tb927.4.1770	Early G1
Tb927.4.1790	Early G1
Tb927.4.1860	Early G1
Tb927.4.1880	Early G1
Tb927.4.1910	Early G1
Tb927.4.1940	Early G1
Tb927.4.1980	Early G1
Tb927.4.2000	Early G1
Tb927.4.2020	Early G1
Tb927.4.2030	Early G1
Tb927.4.2040	Early G1
Tb927.4.2070	Early G1
Tb927.4.2120	Early G1
Tb927.4.2130	Early G1
Tb927.4.2170	Early G1
Tb927.4.2180	Early G1
Tb927.4.2210	Early G1
Tb927.4.2220	Early G1
Tb927.4.2230	Early G1
Tb927.4.2240	Early G1
Tb927.4.2250	Early G1
Tb927.4.2350	Early G1
Tb927.4.2360	Early G1
Tb927.4.2370	Early G1
Tb927.4.2380	Early G1
Tb927.4.2390	Early G1
Tb927.4.2570	Early G1
Tb927.4.2660	Early G1
Tb927.4.2700	Early G1
Tb927.4.2740	Early G1
Tb927.4.2750	Early G1
Tb927.4.2760	Early G1
Tb927.4.2780	Early G1
Tb927.4.2790	Early G1
Tb927.4.2850	Early G1
Tb927.4.2940	Early G1
Tb927.4.2950	Early G1
Tb927.4.3060	Early G1
Tb927.4.3100	Early G1
Tb927.4.3110	Early G1
Tb927.4.3340	Early G1
Tb927.4.3420	Early G1
Tb927.4.3470	Early G1
Tb927.4.3530	Early G1
Tb927.4.3540	Early G1
Tb927.4.3550	Early G1
Tb927.4.3580	Early G1
Tb927.4.3620	Early G1
Tb927.4.3650	Early G1
Tb927.4.3660	Early G1
Tb927.4.3680	Early G1
Tb927.4.3690	Early G1
Tb927.4.3720	Early G1
Tb927.4.3900	Early G1
Tb927.4.3940	Early G1
Tb927.4.3950	Early G1
Tb927.4.4140	Early G1
Tb927.4.4160	Early G1
Tb927.4.4190	Early G1
Tb927.4.4330	Early G1
Tb927.4.4360	Early G1
Tb927.4.4440	Early G1
Tb927.4.4540	Early G1
Tb927.4.4570	Early G1
Tb927.4.4580	Early G1
Tb927.4.460	Early G1
Tb927.4.4600	Early G1
Tb927.4.4610	Early G1
Tb927.4.4660	Early G1
Tb927.4.470	Early G1
Tb927.4.4720	Early G1
Tb927.4.4760	Early G1
Tb927.4.4810	Early G1
Tb927.4.4890	Early G1
Tb927.4.4910	Early G1
Tb927.4.4920	Early G1
Tb927.4.4940	Early G1
Tb927.4.4960	Early G1
Tb927.4.4980	Early G1
Tb927.4.5060	Early G1
Tb927.4.5130	Early G1
Tb927.4.5140	Early G1
Tb927.4.5170	Early G1
Tb927.4.5200	Early G1
Tb927.4.5230	Early G1
Tb927.4.5310	Early G1
Tb927.4.630	Early G1
Tb927.4.730	Early G1
Tb927.4.770	Early G1
Tb927.4.810	Early G1
Tb927.4.840	Early G1
Tb927.4.880	Early G1
Tb927.4.890	Early G1
Tb927.4.940	Early G1
Tb927.4.950	Early G1
Tb927.4.980	Early G1
Tb927.4.990	Early G1
Tb927.5.1060	Early G1
Tb927.5.1080	Early G1
Tb927.5.1090	Early G1
Tb927.5.1100	Early G1
Tb927.5.1130	Early G1
Tb927.5.1140	Early G1
Tb927.5.1160	Early G1
Tb927.5.1200	Early G1
Tb927.5.1210	Early G1
Tb927.5.1240	Early G1
Tb927.5.1260	Early G1
Tb927.5.1290	Early G1
Tb927.5.1300	Early G1
Tb927.5.1330	Early G1
Tb927.5.1360	Early G1
Tb927.5.1450	Early G1
Tb927.5.1510	Early G1
Tb927.5.1530	Early G1
Tb927.5.1570	Early G1
Tb927.5.1650	Early G1
Tb927.5.1660	Early G1
Tb927.5.1670	Early G1
Tb927.5.1700	Early G1
Tb927.5.1710	Early G1
Tb927.5.1720	Early G1
Tb927.5.1750	Early G1
Tb927.5.1780	Early G1
Tb927.5.1790	Early G1
Tb927.5.1820	Early G1
Tb927.5.1950	Early G1
Tb927.5.1980	Early G1
Tb927.5.1990	Early G1
Tb927.5.2010	Early G1
Tb927.5.2070	Early G1
Tb927.5.2080	Early G1
Tb927.5.2100	Early G1
Tb927.5.2110	Early G1
Tb927.5.2150	Early G1
Tb927.5.2160	Early G1
Tb927.5.2170	Early G1
Tb927.5.2360	Early G1
Tb927.5.2470	Early G1
Tb927.5.2620	Early G1
Tb927.5.2670	Early G1
Tb927.5.2770	Early G1
Tb927.5.300	Early G1
Tb927.5.3000	Early G1
Tb927.5.3060	Early G1
Tb927.5.3110	Early G1
Tb927.5.3120	Early G1
Tb927.5.320	Early G1
Tb927.5.330	Early G1
Tb927.5.3360	Early G1
Tb927.5.3390	Early G1
Tb927.5.3420	Early G1
Tb927.5.3470	Early G1
Tb927.5.3500	Early G1
Tb927.5.3570	Early G1
Tb927.5.3600	Early G1
Tb927.5.3610	Early G1
Tb927.5.3620	Early G1
Tb927.5.3650	Early G1
Tb927.5.3700	Early G1
Tb927.5.3890	Early G1
Tb927.5.3920	Early G1
Tb927.5.3950	Early G1
Tb927.5.4090	Early G1
Tb927.5.4120	Early G1
Tb927.5.4290	Early G1
Tb927.5.4330	Early G1
Tb927.5.4350	Early G1
Tb927.5.4360	Early G1
Tb927.5.4380	Early G1
Tb927.5.4410	Early G1
Tb927.5.450	Early G1
Tb927.5.4540	Early G1
Tb927.5.4560	Early G1
Tb927.5.470	Early G1
Tb927.5.480	Early G1
Tb927.5.510	Early G1
Tb927.5.520	Early G1
Tb927.5.560	Early G1
Tb927.5.630	Early G1
Tb927.5.700	Early G1
Tb927.5.740	Early G1
Tb927.5.760	Early G1
Tb927.5.780	Early G1
Tb927.5.790	Early G1
Tb927.5.800	Early G1
Tb927.5.820	Early G1
Tb927.5.920	Early G1
Tb927.5.930	Early G1
Tb927.5.940	Early G1
Tb927.5.990	Early G1
Tb927.6.1010	Early G1
Tb927.6.1070	Early G1
Tb927.6.1080	Early G1
Tb927.6.1120	Early G1
Tb927.6.1130	Early G1
Tb927.6.1160	Early G1
Tb927.6.1170	Early G1
Tb927.6.1250	Early G1
Tb927.6.1260	Early G1
Tb927.6.1440	Early G1
Tb927.6.1490	Early G1
Tb927.6.1520	Early G1
Tb927.6.1550	Early G1
Tb927.6.1570	Early G1
Tb927.6.1600	Early G1
Tb927.6.1620	Early G1
Tb927.6.1670	Early G1
Tb927.6.1700	Early G1
Tb927.6.1840	Early G1
Tb927.6.1890	Early G1
Tb927.6.190	Early G1
Tb927.6.1930	Early G1
Tb927.6.1970	Early G1
Tb927.6.200	Early G1
Tb927.6.2000	Early G1
Tb927.6.2100	Early G1
Tb927.6.2110	Early G1
Tb927.6.2120	Early G1
Tb927.6.2190	Early G1
Tb927.6.2200	Early G1
Tb927.6.2250	Early G1
Tb927.6.2290	Early G1
Tb927.6.2300	Early G1
Tb927.6.2400	Early G1
Tb927.6.2410	Early G1
Tb927.6.2430	Early G1
Tb927.6.2470	Early G1
Tb927.6.2480	Early G1
Tb927.6.2490	Early G1
Tb927.6.2510	Early G1
Tb927.6.2540	Early G1
Tb927.6.2630	Early G1
Tb927.6.2660	Early G1
Tb927.6.2740	Early G1
Tb927.6.2790	Early G1
Tb927.6.2800	Early G1
Tb927.6.2860	Early G1
Tb927.6.2880	Early G1
Tb927.6.2910	Early G1
Tb927.6.3190	Early G1
Tb927.6.3230	Early G1
Tb927.6.3350	Early G1
Tb927.6.3420	Early G1
Tb927.6.3490	Early G1
Tb927.6.3610	Early G1
Tb927.6.3660	Early G1
Tb927.6.3720	Early G1
Tb927.6.3870	Early G1
Tb927.6.3940	Early G1
Tb927.6.3950	Early G1
Tb927.6.4040	Early G1
Tb927.6.4050	Early G1
Tb927.6.4160	Early G1
Tb927.6.4170	Early G1
Tb927.6.4180	Early G1
Tb927.6.4190	Early G1
Tb927.6.4200	Early G1
Tb927.6.4220	Early G1
Tb927.6.4230	Early G1
Tb927.6.4280	Early G1
Tb927.6.4290	Early G1
Tb927.6.430	Early G1
Tb927.6.4380	Early G1
Tb927.6.4390	Early G1
Tb927.6.4400	Early G1
Tb927.6.4420	Early G1
Tb927.6.4430	Early G1
Tb927.6.4440	Early G1
Tb927.6.4470	Early G1
Tb927.6.450	Early G1
Tb927.6.4690	Early G1
Tb927.6.4750	Early G1
Tb927.6.4790	Early G1
Tb927.6.4980	Early G1
Tb927.6.5010	Early G1
Tb927.6.5040	Early G1
Tb927.6.510	Early G1
Tb927.6.5100	Early G1
Tb927.6.5120	Early G1
Tb927.6.5140	Early G1
Tb927.6.520	Early G1
Tb927.6.600	Early G1
Tb927.6.610	Early G1
Tb927.6.640	Early G1
Tb927.6.670	Early G1
Tb927.6.680	Early G1
Tb927.6.710	Early G1
Tb927.6.720	Early G1
Tb927.6.840	Early G1
Tb927.6.850	Early G1
Tb927.6.940	Early G1
Tb927.7.1100	Early G1
Tb927.7.1140	Early G1
Tb927.7.1170	Early G1
Tb927.7.1240	Early G1
Tb927.7.1300	Early G1
Tb927.7.1460	Early G1
Tb927.7.1470	Early G1
Tb927.7.1490	Early G1
Tb927.7.1510	Early G1
Tb927.7.1550	Early G1
Tb927.7.1580	Early G1
Tb927.7.1660	Early G1
Tb927.7.1670	Early G1
Tb927.7.1680	Early G1
Tb927.7.1690	Early G1
Tb927.7.1780	Early G1
Tb927.7.1790	Early G1
Tb927.7.1840	Early G1
Tb927.7.2120	Early G1
Tb927.7.2160	Early G1
Tb927.7.2210	Early G1
Tb927.7.2220	Early G1
Tb927.7.2250	Early G1
Tb927.7.2260	Early G1
Tb927.7.230	Early G1
Tb927.7.2340	Early G1
Tb927.7.2380	Early G1
Tb927.7.2410	Early G1
Tb927.7.2430	Early G1
Tb927.7.2440	Early G1
Tb927.7.2490	Early G1
Tb927.7.2500	Early G1
Tb927.7.2530	Early G1
Tb927.7.2590	Early G1
Tb927.7.2600	Early G1
Tb927.7.2620	Early G1
Tb927.7.2630	Early G1
Tb927.7.2640	Early G1
Tb927.7.2660	Early G1
Tb927.7.2670	Early G1
Tb927.7.2690	Early G1
Tb927.7.2770	Early G1
Tb927.7.2800	Early G1
Tb927.7.2950	Early G1
Tb927.7.2980	Early G1
Tb927.7.2990	Early G1
Tb927.7.3010	Early G1
Tb927.7.3080	Early G1
Tb927.7.3090	Early G1
Tb927.7.3180	Early G1
Tb927.7.3190	Early G1
Tb927.7.3240	Early G1
Tb927.7.330	Early G1
Tb927.7.3320	Early G1
Tb927.7.3390	Early G1
Tb927.7.3440	Early G1
Tb927.7.3490	Early G1
Tb927.7.3510	Early G1
Tb927.7.3530	Early G1
Tb927.7.3590	Early G1
Tb927.7.3640	Early G1
Tb927.7.3660	Early G1
Tb927.7.3680	Early G1
Tb927.7.3750	Early G1
Tb927.7.3770	Early G1
Tb927.7.3810	Early G1
Tb927.7.3910	Early G1
Tb927.7.3970	Early G1
Tb927.7.3990	Early G1
Tb927.7.4030	Early G1
Tb927.7.4040	Early G1
Tb927.7.4070	Early G1
Tb927.7.4110	Early G1
Tb927.7.4170	Early G1
Tb927.7.4180	Early G1
Tb927.7.4200	Early G1
Tb927.7.4380	Early G1
Tb927.7.4390	Early G1
Tb927.7.4410	Early G1
Tb927.7.4420	Early G1
Tb927.7.4440	Early G1
Tb927.7.4480	Early G1
Tb927.7.4500	Early G1
Tb927.7.4520	Early G1
Tb927.7.4550	Early G1
Tb927.7.4560	Early G1
Tb927.7.4570	Early G1
Tb927.7.4680	Early G1
Tb927.7.4710	Early G1
Tb927.7.4720	Early G1
Tb927.7.4750	Early G1
Tb927.7.4760	Early G1
Tb927.7.4890	Early G1
Tb927.7.4900	Early G1
Tb927.7.4920	Early G1
Tb927.7.4990	Early G1
Tb927.7.5000	Early G1
Tb927.7.5030	Early G1
Tb927.7.5070	Early G1
Tb927.7.5120	Early G1
Tb927.7.5150	Early G1
Tb927.7.5180	Early G1
Tb927.7.5190	Early G1
Tb927.7.5250	Early G1
Tb927.7.5260	Early G1
Tb927.7.5310	Early G1
Tb927.7.5340	Early G1
Tb927.7.5350	Early G1
Tb927.7.5500	Early G1
Tb927.7.5510	Early G1
Tb927.7.5610	Early G1
Tb927.7.5620	Early G1
Tb927.7.5680	Early G1
Tb927.7.5720	Early G1
Tb927.7.5770	Early G1
Tb927.7.5810	Early G1
Tb927.7.5820	Early G1
Tb927.7.5890	Early G1
Tb927.7.5900	Early G1
Tb927.7.5930	Early G1
Tb927.7.5960	Early G1
Tb927.7.6000	Early G1
Tb927.7.6110	Early G1
Tb927.7.6190	Early G1
Tb927.7.6200	Early G1
Tb927.7.6210	Early G1
Tb927.7.6240	Early G1
Tb927.7.6320	Early G1
Tb927.7.6340	Early G1
Tb927.7.6370	Early G1
Tb927.7.6380	Early G1
Tb927.7.640	Early G1
Tb927.7.6440	Early G1
Tb927.7.6480	Early G1
Tb927.7.6610	Early G1
Tb927.7.6700	Early G1
Tb927.7.6720	Early G1
Tb927.7.6750	Early G1
Tb927.7.6790	Early G1
Tb927.7.6800	Early G1
Tb927.7.6860	Early G1
Tb927.7.6920	Early G1
Tb927.7.6930	Early G1
Tb927.7.6940	Early G1
Tb927.7.7030	Early G1
Tb927.7.7040	Early G1
Tb927.7.7200	Early G1
Tb927.7.7210	Early G1
Tb927.7.7230	Early G1
Tb927.7.7280	Early G1
Tb927.7.7340	Early G1
Tb927.7.7360	Early G1
Tb927.7.740	Early G1
Tb927.7.7410	Early G1
Tb927.7.7420	Early G1
Tb927.7.7500	Early G1
Tb927.7.770	Early G1
Tb927.7.780	Early G1
Tb927.7.840	Early G1
Tb927.7.870	Early G1
Tb927.8.1010	Early G1
Tb927.8.1020	Early G1
Tb927.8.1040	Early G1
Tb927.8.1060	Early G1
Tb927.8.1070	Early G1
Tb927.8.1110	Early G1
Tb927.8.1170	Early G1
Tb927.8.1240	Early G1
Tb927.8.1330	Early G1
Tb927.8.1470	Early G1
Tb927.8.1490	Early G1
Tb927.8.1520	Early G1
Tb927.8.1580	Early G1
Tb927.8.1690	Early G1
Tb927.8.1710	Early G1
Tb927.8.1750	Early G1
Tb927.8.1770	Early G1
Tb927.8.1780	Early G1
Tb927.8.1810	Early G1
Tb927.8.1820	Early G1
Tb927.8.1850	Early G1
Tb927.8.1890	Early G1
Tb927.8.1980	Early G1
Tb927.8.2020	Early G1
Tb927.8.2120	Early G1
Tb927.8.2140	Early G1
Tb927.8.2180	Early G1
Tb927.8.2210	Early G1
Tb927.8.2230	Early G1
Tb927.8.2240	Early G1
Tb927.8.2300	Early G1
Tb927.8.2350	Early G1
Tb927.8.2360	Early G1
Tb927.8.2380	Early G1
Tb927.8.2420	Early G1
Tb927.8.2450	Early G1
Tb927.8.2470	Early G1
Tb927.8.2540	Early G1
Tb927.8.2650	Early G1
Tb927.8.2700	Early G1
Tb927.8.2730	Early G1
Tb927.8.2750	Early G1
Tb927.8.2760	Early G1
Tb927.8.2780	Early G1
Tb927.8.2830	Early G1
Tb927.8.2840	Early G1
Tb927.8.2850	Early G1
Tb927.8.2980	Early G1
Tb927.8.2990	Early G1
Tb927.8.3010	Early G1
Tb927.8.3030	Early G1
Tb927.8.3040	Early G1
Tb927.8.3110	Early G1
Tb927.8.3170	Early G1
Tb927.8.3220	Early G1
Tb927.8.3280	Early G1
Tb927.8.3380	Early G1
Tb927.8.3460	Early G1
Tb927.8.3530	Early G1
Tb927.8.3580	Early G1
Tb927.8.3620	Early G1
Tb927.8.3640	Early G1
Tb927.8.3770	Early G1
Tb927.8.3810	Early G1
Tb927.8.3820	Early G1
Tb927.8.3840	Early G1
Tb927.8.3860	Early G1
Tb927.8.4040	Early G1
Tb927.8.4150	Early G1
Tb927.8.4250	Early G1
Tb927.8.4260	Early G1
Tb927.8.4270	Early G1
Tb927.8.4330	Early G1
Tb927.8.4430	Early G1
Tb927.8.4470	Early G1
Tb927.8.4530	Early G1
Tb927.8.4550	Early G1
Tb927.8.4630	Early G1
Tb927.8.4680	Early G1
Tb927.8.4690	Early G1
Tb927.8.4700	Early G1
Tb927.8.4750	Early G1
Tb927.8.4760	Early G1
Tb927.8.4800	Early G1
Tb927.8.4810	Early G1
Tb927.8.4850	Early G1
Tb927.8.4920	Early G1
Tb927.8.4930	Early G1
Tb927.8.5030	Early G1
Tb927.8.5070	Early G1
Tb927.8.5080	Early G1
Tb927.8.5130	Early G1
Tb927.8.5180	Early G1
Tb927.8.5290	Early G1
Tb927.8.5410	Early G1
Tb927.8.5450	Early G1
Tb927.8.5460	Early G1
Tb927.8.5465	Early G1
Tb927.8.5470	Early G1
Tb927.8.5500	Early G1
Tb927.8.5520	Early G1
Tb927.8.5530	Early G1
Tb927.8.5540	Early G1
Tb927.8.5560	Early G1
Tb927.8.5590	Early G1
Tb927.8.5600	Early G1
Tb927.8.5610	Early G1
Tb927.8.5630	Early G1
Tb927.8.5640	Early G1
Tb927.8.5680	Early G1
Tb927.8.5770	Early G1
Tb927.8.5820	Early G1
Tb927.8.6010	Early G1
Tb927.8.6020	Early G1
Tb927.8.6030	Early G1
Tb927.8.6040	Early G1
Tb927.8.6060	Early G1
Tb927.8.6100	Early G1
Tb927.8.6110	Early G1
Tb927.8.6130	Early G1
Tb927.8.6150	Early G1
Tb927.8.6170	Early G1
Tb927.8.6180	Early G1
Tb927.8.6200	Early G1
Tb927.8.6280	Early G1
Tb927.8.6290	Early G1
Tb927.8.6300	Early G1
Tb927.8.6390	Early G1
Tb927.8.6440	Early G1
Tb927.8.6450	Early G1
Tb927.8.6460	Early G1
Tb927.8.6580	Early G1
Tb927.8.6620	Early G1
Tb927.8.6630	Early G1
Tb927.8.6670	Early G1
Tb927.8.6740	Early G1
Tb927.8.6780	Early G1
Tb927.8.6800	Early G1
Tb927.8.6810	Early G1
Tb927.8.6820	Early G1
Tb927.8.7000	Early G1
Tb927.8.7040	Early G1
Tb927.8.7050	Early G1
Tb927.8.7170	Early G1
Tb927.8.7180	Early G1
Tb927.8.7190	Early G1
Tb927.8.7200	Early G1
Tb927.8.7220	Early G1
Tb927.8.7270	Early G1
Tb927.8.7280	Early G1
Tb927.8.7390	Early G1
Tb927.8.740	Early G1
Tb927.8.7440	Early G1
Tb927.8.7450	Early G1
Tb927.8.7530	Early G1
Tb927.8.7560	Early G1
Tb927.8.7570	Early G1
Tb927.8.7580	Early G1
Tb927.8.7620	Early G1
Tb927.8.7650	Early G1
Tb927.8.7660	Early G1
Tb927.8.7690	Early G1
Tb927.8.7760	Early G1
Tb927.8.7770	Early G1
Tb927.8.7810	Early G1
Tb927.8.8050	Early G1
Tb927.8.8070	Early G1
Tb927.8.8110	Early G1
Tb927.8.8130	Early G1
Tb927.8.8150	Early G1
Tb927.8.8220	Early G1
Tb927.8.8310	Early G1
Tb927.8.8330	Early G1
Tb927.8.8340	Early G1
Tb927.8.870	Early G1
Tb927.8.880	Early G1
Tb927.8.890	Early G1
Tb927.8.900	Early G1
Tb927.8.970	Early G1
Tb927.8.980	Early G1
Tb927.8.990	Early G1
Tb09.160.0350	G2/M phase
Tb09.160.0390	G2/M phase
Tb09.160.0430	G2/M phase
Tb09.160.0440	G2/M phase
Tb09.160.0470	G2/M phase
Tb09.160.0510	G2/M phase
Tb09.160.0560	G2/M phase
Tb09.160.0580	G2/M phase
Tb09.160.0720	G2/M phase
Tb09.160.0790	G2/M phase
Tb09.160.0815	G2/M phase
Tb09.160.0890	G2/M phase
Tb09.160.0910	G2/M phase
Tb09.160.0930	G2/M phase
Tb09.160.0970	G2/M phase
Tb09.160.1010	G2/M phase
Tb09.160.1020	G2/M phase
Tb09.160.1110	G2/M phase
Tb09.160.1120	G2/M phase
Tb09.160.1220	G2/M phase
Tb09.160.1240	G2/M phase
Tb09.160.1250	G2/M phase
Tb09.160.1280	G2/M phase
Tb09.160.1610	G2/M phase
Tb09.160.1690	G2/M phase
Tb09.160.1710	G2/M phase
Tb09.160.1790	G2/M phase
Tb09.160.1810	G2/M phase
Tb09.160.1820	G2/M phase
Tb09.160.1950	G2/M phase
Tb09.160.2000	G2/M phase
Tb09.160.2010	G2/M phase
Tb09.160.2060	G2/M phase
Tb09.160.2070	G2/M phase
Tb09.160.2090	G2/M phase
Tb09.160.2100	G2/M phase
Tb09.160.2110	G2/M phase
Tb09.160.2170	G2/M phase
Tb09.160.2220	G2/M phase
Tb09.160.2250	G2/M phase
Tb09.160.2420	G2/M phase
Tb09.160.2460	G2/M phase
Tb09.160.2490	G2/M phase
Tb09.160.2540	G2/M phase
Tb09.160.3020	G2/M phase
Tb09.160.3110	G2/M phase
Tb09.160.3140	G2/M phase
Tb09.160.3160	G2/M phase
Tb09.160.3170	G2/M phase
Tb09.160.3260	G2/M phase
Tb09.160.3370	G2/M phase
Tb09.160.3540	G2/M phase
Tb09.160.3550	G2/M phase
Tb09.160.3590	G2/M phase
Tb09.160.3600	G2/M phase
Tb09.160.3620	G2/M phase
Tb09.160.3630	G2/M phase
Tb09.160.3670	G2/M phase
Tb09.160.3740	G2/M phase
Tb09.160.3780	G2/M phase
Tb09.160.3930	G2/M phase
Tb09.160.3960	G2/M phase
Tb09.160.4130	G2/M phase
