Gene	peak.time
Tb10.26.0210	Early G1
Tb10.26.0230	Early G1
Tb10.26.0240	Early G1
Tb10.26.0260	Early G1
Tb10.26.0340	Early G1
Tb10.26.0350	Early G1
Tb10.26.0385	Early G1
Tb10.26.0550	Early G1
Tb10.26.0560	Early G1
Tb10.26.0590	Early G1
Tb10.26.0680	Early G1
Tb10.26.0780	Early G1
Tb10.26.0790	Early G1
Tb10.26.0800	Early G1
Tb10.26.0825	Early G1
Tb10.26.1000	Early G1
Tb10.26.1060	Early G1
Tb10.389.0030	Early G1
Tb10.389.0220	Early G1
Tb10.389.0260	Early G1
Tb10.389.0270	Early G1
Tb10.389.0320	Early G1
Tb10.389.0340	Early G1
Tb10.389.0530	Early G1
Tb10.389.0590	Early G1
Tb10.389.0610	Early G1
Tb10.389.0650	Early G1
Tb10.389.0690	Early G1
Tb10.389.0770	Early G1
Tb10.389.0830	Early G1
Tb10.389.0910	Early G1
Tb10.389.1060	Early G1
Tb10.389.1210	Early G1
Tb10.389.1340	Early G1
Tb10.389.1440	Early G1
Tb10.389.1480	Early G1
Tb10.389.1490	Early G1
Tb10.389.1500	Early G1
Tb10.389.1580	Early G1
Tb10.389.1670	Early G1
Tb10.389.1810	Early G1
Tb10.389.1830	Early G1
Tb10.389.1840	Early G1
Tb10.389.1920	Early G1
Tb10.406.0050	Early G1
Tb10.406.0060	Early G1
Tb10.406.0230	Early G1
Tb10.406.0240	Early G1
Tb10.406.0260	Early G1
Tb10.406.0265	Early G1
Tb10.406.0280	Early G1
Tb10.406.0470	Early G1
Tb10.406.0480	Early G1
Tb10.406.0510	Early G1
Tb10.406.0630	Early G1
Tb10.61.0060	Early G1
Tb10.61.0080	Early G1
Tb10.61.0100	Early G1
Tb10.61.0110	Early G1
Tb10.61.0160	Early G1
Tb10.61.0180	Early G1
Tb10.61.0190	Early G1
Tb10.61.0230	Early G1
Tb10.61.0280	Early G1
Tb10.61.0340	Early G1
Tb10.61.0370	Early G1
Tb10.61.0395	Early G1
Tb10.61.0410	Early G1
Tb10.61.0460	Early G1
Tb10.61.0510	Early G1
Tb10.61.0540	Early G1
Tb10.61.0570	Early G1
Tb10.61.0600	Early G1
Tb10.61.0670	Early G1
Tb10.61.0690	Early G1
Tb10.61.0910	Early G1
Tb10.61.0950	Early G1
Tb10.61.0960	Early G1
Tb10.61.0980	Early G1
Tb10.61.1350	Early G1
Tb10.61.1370	Early G1
Tb10.61.1390	Early G1
Tb10.61.1520	Early G1
Tb10.61.1530	Early G1
Tb10.61.1630	Early G1
Tb10.61.1650	Early G1
Tb10.61.1690	Early G1
Tb10.61.1730	Early G1
Tb10.61.1750	Early G1
Tb10.61.1850	Early G1
Tb10.61.1920	Early G1
Tb10.61.1960	Early G1
Tb10.61.1980	Early G1
Tb10.61.2010	Early G1
Tb10.61.2080	Early G1
Tb10.61.2090	Early G1
Tb10.61.2130	Early G1
Tb10.61.2180	Early G1
Tb10.61.2280	Early G1
Tb10.61.2400	Early G1
Tb10.61.2510	Early G1
Tb10.61.2600	Early G1
Tb10.61.2620	Early G1
Tb10.61.2630	Early G1
Tb10.61.2680	Early G1
Tb10.61.2880	Early G1
Tb10.61.2890	Early G1
Tb10.61.2990	Early G1
Tb10.61.3000	Early G1
Tb10.61.3080	Early G1
Tb10.61.3110	Early G1
Tb10.61.3115	Early G1
Tb10.61.3130	Early G1
Tb10.61.3160	Early G1
Tb10.61.3170	Early G1
Tb10.6k15.0020	Early G1
Tb10.6k15.0030	Early G1
Tb10.6k15.0100	Early G1
Tb10.6k15.0110	Early G1
Tb10.6k15.0120	Early G1
Tb10.6k15.0150	Early G1
Tb10.6k15.0290	Early G1
Tb10.6k15.0400	Early G1
Tb10.6k15.0410	Early G1
Tb10.6k15.0520	Early G1
Tb10.6k15.0540	Early G1
Tb10.6k15.0680	Early G1
Tb10.6k15.1040	Early G1
Tb10.6k15.1090	Early G1
Tb10.6k15.1130	Early G1
Tb10.6k15.1140	Early G1
Tb10.6k15.1160	Early G1
Tb10.6k15.1180	Early G1
Tb10.6k15.1240	Early G1
Tb10.6k15.1260	Early G1
Tb10.6k15.1330	Early G1
Tb10.6k15.1390	Early G1
Tb10.6k15.1500	Early G1
Tb10.6k15.1650	Early G1
Tb10.6k15.1690	Early G1
Tb10.6k15.1790	Early G1
Tb10.6k15.1860	Early G1
Tb10.6k15.1870	Early G1
Tb10.6k15.1890	Early G1
Tb10.6k15.1970	Early G1
Tb10.6k15.2000	Early G1
Tb10.6k15.2020	Early G1
Tb10.6k15.2030	Early G1
Tb10.6k15.2050	Early G1
Tb10.6k15.2390	Early G1
Tb10.6k15.2430	Early G1
Tb10.6k15.2460	Early G1
Tb10.6k15.2470	Early G1
Tb10.6k15.2490	Early G1
Tb10.6k15.2570	Early G1
Tb10.6k15.2600	Early G1
Tb10.6k15.2640	Early G1
Tb10.6k15.2690	Early G1
Tb10.6k15.2720	Early G1
Tb10.6k15.2820	Early G1
Tb10.6k15.2830	Early G1
Tb10.6k15.2900	Early G1
Tb10.6k15.3050	Early G1
Tb10.6k15.3060	Early G1
Tb10.6k15.3080	Early G1
Tb10.6k15.3090	Early G1
Tb10.6k15.3270	Early G1
Tb10.6k15.3290	Early G1
Tb10.6k15.3300	Early G1
Tb10.6k15.3320	Early G1
Tb10.6k15.3370	Early G1
Tb10.6k15.3410	Early G1
Tb10.6k15.3440	Early G1
Tb10.6k15.3470	Early G1
Tb10.6k15.3490	Early G1
Tb10.6k15.3640	Early G1
Tb10.6k15.3820	Early G1
Tb10.6k15.3850	Early G1
Tb10.6k15.3960	Early G1
Tb10.70.0190	Early G1
Tb10.70.0250	Early G1
Tb10.70.0280	Early G1
Tb10.70.0370	Early G1
Tb10.70.0450	Early G1
Tb10.70.0465	Early G1
Tb10.70.0590	Early G1
Tb10.70.0630	Early G1
Tb10.70.0670	Early G1
Tb10.70.0720	Early G1
Tb10.70.0730	Early G1
Tb10.70.0750	Early G1
Tb10.70.0770	Early G1
Tb10.70.0780	Early G1
Tb10.70.0800	Early G1
Tb10.70.0820	Early G1
Tb10.70.0830	Early G1
Tb10.70.0860	Early G1
Tb10.70.0960	Early G1
Tb10.70.1030	Early G1
Tb10.70.1110	Early G1
Tb10.70.1130	Early G1
Tb10.70.1370	Early G1
Tb10.70.1380	Early G1
Tb10.70.1410	Early G1
Tb10.70.1440	Early G1
Tb10.70.1490	Early G1
Tb10.70.1540	Early G1
Tb10.70.1550	Early G1
Tb10.70.1580	Early G1
Tb10.70.1690	Early G1
Tb10.70.1730	Early G1
Tb10.70.1910	Early G1
Tb10.70.1930	Early G1
Tb10.70.2100	Early G1
Tb10.70.2120	Early G1
Tb10.70.2170	Early G1
Tb10.70.2290	Early G1
Tb10.70.2320	Early G1
Tb10.70.2350	Early G1
Tb10.70.2390	Early G1
Tb10.70.2400	Early G1
Tb10.70.2440	Early G1
Tb10.70.2480	Early G1
Tb10.70.2530	Early G1
Tb10.70.2600	Early G1
Tb10.70.2970	Early G1
Tb10.70.3160	Early G1
Tb10.70.3185	Early G1
Tb10.70.3200	Early G1
Tb10.70.3210	Early G1
Tb10.70.3220	Early G1
Tb10.70.3240	Early G1
Tb10.70.3280	Early G1
Tb10.70.3290	Early G1
Tb10.70.3360	Early G1
Tb10.70.3450	Early G1
Tb10.70.3480	Early G1
Tb10.70.3500	Early G1
Tb10.70.3510	Early G1
Tb10.70.3550	Early G1
Tb10.70.3560	Early G1
Tb10.70.3580	Early G1
Tb10.70.3600	Early G1
Tb10.70.3670	Early G1
Tb10.70.3690	Early G1
Tb10.70.3700	Early G1
Tb10.70.3710	Early G1
Tb10.70.3840	Early G1
Tb10.70.3960	Early G1
Tb10.70.3970	Early G1
Tb10.70.3980	Early G1
Tb10.70.4040	Early G1
Tb10.70.4060	Early G1
Tb10.70.4080	Early G1
Tb10.70.4150	Early G1
Tb10.70.4200	Early G1
Tb10.70.4220	Early G1
Tb10.70.4270	Early G1
Tb10.70.4510	Early G1
Tb10.70.4590	Early G1
Tb10.70.4600	Early G1
Tb10.70.4700	Early G1
Tb10.70.4740	Early G1
Tb10.70.4770	Early G1
Tb10.70.4780	Early G1
Tb10.70.4810	Early G1
Tb10.70.4830	Early G1
Tb10.70.4940	Early G1
Tb10.70.4970	Early G1
Tb10.70.4980	Early G1
Tb10.70.5060	Early G1
Tb10.70.5070	Early G1
Tb10.70.5080	Early G1
Tb10.70.5100	Early G1
Tb10.70.5110	Early G1
Tb10.70.5120	Early G1
Tb10.70.5180	Early G1
Tb10.70.5250	Early G1
Tb10.70.5380	Early G1
Tb10.70.5400	Early G1
Tb10.70.5450	Early G1
Tb10.70.5480	Early G1
Tb10.70.5510	Early G1
Tb10.70.5520	Early G1
Tb10.70.5540	Early G1
Tb10.70.5570	Early G1
Tb10.70.5620	Early G1
Tb10.70.5630	Early G1
Tb10.70.5720	Early G1
Tb10.70.5800	Early G1
Tb10.70.5840	Early G1
Tb10.70.5900	Early G1
Tb10.70.5980	Early G1
Tb10.70.6150	Early G1
Tb10.70.6160	Early G1
Tb10.70.6200	Early G1
Tb10.70.6310	Early G1
Tb10.70.6320	Early G1
Tb10.70.6330	Early G1
Tb10.70.6340	Early G1
Tb10.70.6360	Early G1
Tb10.70.6380	Early G1
Tb10.70.6420	Early G1
Tb10.70.6480	Early G1
Tb10.70.6690	Early G1
Tb10.70.6720	Early G1
Tb10.70.6750	Early G1
Tb10.70.6770	Early G1
Tb10.70.6790	Early G1
Tb10.70.6800	Early G1
Tb10.70.6810	Early G1
Tb10.70.6880	Early G1
Tb10.70.6910	Early G1
Tb10.70.6950	Early G1
Tb10.70.6990	Early G1
Tb10.70.7020	Early G1
Tb10.70.7210	Early G1
Tb10.70.7220	Early G1
Tb10.70.7410	Early G1
Tb10.70.7510	Early G1
Tb10.70.7520	Early G1
Tb10.70.7530	Early G1
Tb10.70.7540	Early G1
Tb10.70.7570	Early G1
Tb10.70.7670	Early G1
Tb10.70.7690	Early G1
Tb10.70.7695	Early G1
Tb10.70.7750	Early G1
Tb10.70.7880	Early G1
Tb10.70.7910	Early G1
Tb10.70.7920	Early G1
Tb10.70.7960	Early G1
Tb10.v4.0041	Early G1
Tb10.v4.0247	Early G1
Tb10.v4.0249	Early G1
Tb11.01.0135	Early G1
Tb11.01.0150	Early G1
Tb11.01.0170	Early G1
Tb11.01.0260	Early G1
Tb11.01.0270	Early G1
Tb11.01.0290	Early G1
Tb11.01.0355	Early G1
Tb11.01.0420	Early G1
Tb11.01.0440	Early G1
Tb11.01.0540	Early G1
Tb11.01.0670	Early G1
Tb11.01.0700	Early G1
Tb11.01.0720	Early G1
Tb11.01.0770	Early G1
Tb11.01.0780	Early G1
Tb11.01.0800	Early G1
Tb11.01.0810	Early G1
Tb11.01.0870	Early G1
Tb11.01.0900	Early G1
Tb11.01.0920	Early G1
Tb11.01.1160	Early G1
Tb11.01.1180	Early G1
Tb11.01.1215	Early G1
Tb11.01.1230	Early G1
Tb11.01.1270	Early G1
Tb11.01.1290	Early G1
Tb11.01.1310	Early G1
Tb11.01.1320	Early G1
Tb11.01.1330	Early G1
Tb11.01.1340	Early G1
Tb11.01.1350	Early G1
Tb11.01.1410	Early G1
Tb11.01.1420	Early G1
Tb11.01.1440	Early G1
Tb11.01.1450	Early G1
Tb11.01.1465	Early G1
Tb11.01.1475	Early G1
Tb11.01.1480	Early G1
Tb11.01.1560	Early G1
Tb11.01.1630	Early G1
Tb11.01.1660	Early G1
Tb11.01.1710	Early G1
Tb11.01.1750	Early G1
Tb11.01.1780	Early G1
Tb11.01.1790	Early G1
Tb11.01.1800	Early G1
Tb11.01.1810	Early G1
Tb11.01.1820	Early G1
Tb11.01.1840	Early G1
Tb11.01.1860	Early G1
Tb11.01.1870	Early G1
Tb11.01.1890	Early G1
Tb11.01.1900	Early G1
Tb11.01.1930	Early G1
Tb11.01.1990	Early G1
Tb11.01.2090	Early G1
Tb11.01.2130	Early G1
Tb11.01.2230	Early G1
Tb11.01.2400	Early G1
Tb11.01.2410	Early G1
Tb11.01.2460	Early G1
Tb11.01.2540	Early G1
Tb11.01.2550	Early G1
Tb11.01.2590	Early G1
Tb11.01.2620	Early G1
Tb11.01.2680	Early G1
Tb11.01.3020	Early G1
Tb11.01.3040	Early G1
Tb11.01.3050	Early G1
Tb11.01.3060	Early G1
Tb11.01.3090	Early G1
Tb11.01.3110	Early G1
Tb11.01.3160	Early G1
Tb11.01.3200	Early G1
Tb11.01.3280	Early G1
Tb11.01.3350	Early G1
Tb11.01.3370	Early G1
Tb11.01.3380	Early G1
Tb11.01.3420	Early G1
Tb11.01.3530	Early G1
Tb11.01.3550	Early G1
Tb11.01.3560	Early G1
Tb11.01.3570	Early G1
Tb11.01.3610	Early G1
Tb11.01.3620	Early G1
Tb11.01.3630	Early G1
Tb11.01.3650	Early G1
Tb11.01.3660	Early G1
Tb11.01.3675	Early G1
Tb11.01.3710	Early G1
Tb11.01.3770	Early G1
Tb11.01.3915	Early G1
Tb11.01.3980	Early G1
Tb11.01.4025	Early G1
Tb11.01.4040	Early G1
Tb11.01.4050	Early G1
Tb11.01.4080	Early G1
Tb11.01.4100	Early G1
Tb11.01.4140	Early G1
Tb11.01.4190	Early G1
Tb11.01.4320	Early G1
Tb11.01.4360	Early G1
Tb11.01.4450	Early G1
Tb11.01.4470	Early G1
Tb11.01.4500	Early G1
Tb11.01.4570	Early G1
Tb11.01.4580	Early G1
Tb11.01.4600	Early G1
Tb11.01.4610	Early G1
Tb11.01.4625	Early G1
Tb11.01.4702	Early G1
Tb11.01.4850	Early G1
Tb11.01.4900	Early G1
Tb11.01.5010	Early G1
Tb11.01.5040	Early G1
Tb11.01.5110	Early G1
Tb11.01.5140	Early G1
Tb11.01.5160	Early G1
Tb11.01.5190	Early G1
Tb11.01.5410	Early G1
Tb11.01.5420	Early G1
Tb11.01.5480	Early G1
Tb11.01.5510	Early G1
Tb11.01.5560	Early G1
Tb11.01.5580	Early G1
Tb11.01.5640	Early G1
Tb11.01.5660	Early G1
Tb11.01.5700	Early G1
Tb11.01.5720	Early G1
Tb11.01.5730	Early G1
Tb11.01.5760	Early G1
Tb11.01.5840	Early G1
Tb11.01.5920	Early G1
Tb11.01.6020	Early G1
Tb11.01.6120	Early G1
Tb11.01.6285	Early G1
Tb11.01.6450	Early G1
Tb11.01.6580	Early G1
Tb11.01.6690	Early G1
Tb11.01.6760	Early G1
Tb11.01.6790	Early G1
Tb11.01.6830	Early G1
Tb11.01.6890	Early G1
Tb11.01.6920	Early G1
Tb11.01.6950	Early G1
Tb11.01.7060	Early G1
Tb11.01.7090	Early G1
Tb11.01.7140	Early G1
Tb11.01.7150	Early G1
Tb11.01.7190	Early G1
Tb11.01.7250	Early G1
Tb11.01.7260	Early G1
Tb11.01.7290	Early G1
Tb11.01.7350	Early G1
Tb11.01.7370	Early G1
Tb11.01.7460	Early G1
Tb11.01.7510	Early G1
Tb11.01.7530	Early G1
Tb11.01.7535	Early G1
Tb11.01.7600	Early G1
Tb11.01.7620	Early G1
Tb11.01.7720	Early G1
Tb11.01.7730	Early G1
Tb11.01.7800	Early G1
Tb11.01.7880	Early G1
Tb11.01.7940	Early G1
Tb11.01.7950	Early G1
Tb11.01.7960	Early G1
Tb11.01.7980	Early G1
Tb11.01.8000	Early G1
Tb11.01.8050	Early G1
Tb11.01.8150	Early G1
Tb11.01.8210	Early G1
Tb11.01.8280	Early G1
Tb11.01.8310	Early G1
Tb11.01.8320	Early G1
Tb11.01.8380	Early G1
Tb11.01.8410	Early G1
Tb11.01.8470	Early G1
Tb11.01.8520	Early G1
Tb11.01.8560	Early G1
Tb11.01.8570	Early G1
Tb11.01.8580	Early G1
Tb11.01.8620	Early G1
Tb11.01.8680	Early G1
Tb11.01.8700	Early G1
Tb11.01.8770	Early G1
Tb11.02.0020	Early G1
Tb11.02.0210	Early G1
Tb11.02.0270	Early G1
Tb11.02.0290	Early G1
Tb11.02.0351	Early G1
Tb11.02.0440	Early G1
Tb11.02.0445	Early G1
Tb11.02.0460	Early G1
Tb11.02.0465	Early G1
Tb11.02.0490	Early G1
Tb11.02.0500	Early G1
Tb11.02.0510	Early G1
Tb11.02.0520	Early G1
Tb11.02.0550	Early G1
Tb11.02.0560	Early G1
Tb11.02.0580	Early G1
Tb11.02.0590	Early G1
Tb11.02.0600	Early G1
Tb11.02.0640	Early G1
Tb11.02.0710	Early G1
Tb11.02.0780	Early G1
Tb11.02.0810	Early G1
Tb11.02.0840	Early G1
Tb11.02.0865	Early G1
Tb11.02.0890	Early G1
Tb11.02.0920	Early G1
Tb11.02.0930	Early G1
Tb11.02.0940	Early G1
Tb11.02.0950	Early G1
Tb11.02.0960	Early G1
Tb11.02.0970	Early G1
Tb11.02.0980	Early G1
Tb11.02.1010	Early G1
Tb11.02.1085	Early G1
Tb11.02.1100	Early G1
Tb11.02.1110	Early G1
Tb11.02.1120	Early G1
Tb11.02.1150	Early G1
Tb11.02.1170	Early G1
Tb11.02.1180	Early G1
Tb11.02.1240	Early G1
Tb11.02.1370	Early G1
Tb11.02.1480	Early G1
Tb11.02.1620	Early G1
Tb11.02.1710	Early G1
Tb11.02.1760	Early G1
Tb11.02.1770	Early G1
Tb11.02.1830	Early G1
Tb11.02.1840	Early G1
Tb11.02.1860	Early G1
Tb11.02.1880	Early G1
Tb11.02.1910	Early G1
Tb11.02.1990	Early G1
Tb11.02.2080	Early G1
Tb11.02.2120	Early G1
Tb11.02.2150	Early G1
Tb11.02.2230	Early G1
Tb11.02.2250	Early G1
Tb11.02.2280	Early G1
Tb11.02.2340	Early G1
Tb11.02.2430	Early G1
